=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.19 13:28:36 =~=~=~=~=~=~=~=~=~=~=~=
Tiempo,Estado,Potencia,Termocupla
10,0,100,21
20,0,100,21
30,0,100,18
40,0,100,17
50,0,100,21
60,0,100,30
70,0,100,40
80,0,100,54
90,0,100,69
100,0,100,85
110,0,100,101
120,0,100,118
130,0,100,135
140,0,100,151
150,0,100,167
160,0,100,182
170,0,100,196
180,0,100,210
190,0,100,222
200,0,100,235
210,0,100,247
220,0,100,257
230,0,100,267
240,0,100,276
250,0,100,285
260,0,100,292
270,0,100,300
280,0,100,306
290,0,100,313
300,0,100,319
310,0,100,324
320,0,100,329
330,0,100,334
340,0,100,339
350,0,100,344
360,0,100,348
370,0,100,352
380,0,100,356
390,0,100,360
400,0,100,364
410,0,100,367
420,0,100,371
430,0,100,374
440,0,100,377
450,0,100,380
460,0,100,383
470,0,100,386
480,0,100,389
490,0,100,392
500,0,100,395
510,0,100,398
520,0,100,400
530,0,100,403
540,0,100,405
550,0,100,408
560,0,100,410
570,0,100,412
580,0,100,414
590,0,100,417
600,0,100,419
610,0,100,421
620,0,100,423
630,0,100,426
640,0,100,428
650,0,100,430
660,0,100,432
670,0,100,434
680,0,100,436
690,0,100,439
700,0,100,440
710,0,100,443
720,0,100,445
730,0,100,447
740,0,100,449
750,0,100,450
760,0,100,452
770,0,100,454
780,0,100,455
790,0,100,458
800,0,100,460
810,0,100,461
820,0,100,463
830,0,100,465
840,0,100,467
850,0,100,469
860,0,100,470
870,0,100,472
880,0,100,474
890,0,100,476
900,0,100,477
910,0,100,479
920,0,100,481
930,0,100,482
940,0,100,484
950,0,100,486
960,0,100,488
970,0,100,490
980,0,100,491
990,0,100,493
1000,0,100,494
1010,0,100,496
1020,0,100,497
1030,0,100,499
1040,0,100,500
1050,0,100,502
1060,0,100,503
1070,0,100,505
1080,0,100,507
1090,0,100,508
1100,0,100,510
1110,0,100,512
1120,0,100,513
1130,0,100,515
1140,0,100,516
1150,0,100,518
1160,0,100,519
1170,0,100,521
1180,0,100,522
1190,0,100,524
1200,0,100,525
1210,0,100,527
1220,0,100,529
1230,0,100,530
1240,0,100,531
1250,0,100,533
1260,0,100,534
1270,0,100,536
1280,0,100,538
1290,0,100,539
1300,0,100,541
1310,0,100,542
1320,0,100,544
1330,0,100,545
1340,0,100,547
1350,0,100,548
1360,0,100,550
